Index,Symbol,Name
0,AUDUSD=X,AUD/USD
1,AUDCHF=X,AUD/CHF
2,AUDNZD=X,AUD/NZD
3,AUDEUR=X,AUD/EUR
4,AUDTWD=X,AUD/TWD
5,AUDMXN=X,AUD/MXN
6,AUDJPY=X,AUD/JPY
7,NZDJPY=X,NZD/JPY
8,EURXAF=X,EUR/XAF
9,EURPEN=X,EUR/PEN
10,EURBDT=X,EUR/BDT
11,CAD=X,USD/CAD
12,AZNUSD=X,AZN/USD
13,AZNCHF=X,AZN/CHF
14,AUDSCR=X,AUD/SCR
15,AUDMOP=X,AUD/MOP
16,AUDKRW=X,AUD/KRW
17,AUDHNL=X,AUD/HNL
18,AUDGIP=X,AUD/GIP
19,AUDGBP=X,AUD/GBP
20,AUDCZK=X,AUD/CZK
21,AUDCLP=X,AUD/CLP
22,AUDCAD=X,AUD/CAD
23,ARSKRW=X,ARS/KRW
24,ARSGBP=X,ARS/GBP
25,ALLGBP=X,ALL/GBP
26,AEDTWD=X,AED/TWD
27,AEDSEK=X,AED/SEK
28,AEDQAR=X,AED/QAR
29,AEDOMR=X,AED/OMR
30,AEDMXN=X,AED/MXN
31,AEDMAD=X,AED/MAD
32,AEDLTL=X,AED/LTL
33,AEDKWD=X,AED/KWD
34,AEDHKD=X,AED/HKD
35,AEDCNY=X,AED/CNY
36,AEDAUD=X,AED/AUD
37,AEDKRW=X,AED/KRW
38,AEDUSD=X,AED/USD
39,ARSCOP=X,ARS/COP
40,AUDRON=X,AUD/RON
41,ARSUSD=X,ARS/USD
42,AEDISK=X,AED/ISK
43,AEDLVL=X,AED/LVL
44,EURUYU=X,EUR/UYU
45,EUR-BDT.F,EUR-BDT.F
46,AEDPHP=X,AED/PHP
47,AEDCAD=X,AED/CAD
48,AUDBMD=X,AUD/BMD
49,ARSCLP=X,ARS/CLP
50,AWG=X,USD/AWG
51,AUDVEF=X,AUD/VEF
52,ANGEUR=X,ANG/EUR
53,AEDSGD=X,AED/SGD
54,AEDKES=X,AED/KES
55,AEDNZD=X,AED/NZD
56,ANGZAR=X,ANG/ZAR
57,EUR-TRY.F,EUR-TRY.F
58,ARSHKD=X,ARS/HKD
59,AUDMAD=X,AUD/MAD
60,AUDTND=X,AUD/TND
61,AUDMGA=X,AUD/MGA
62,AUD=X,USD/AUD
63,AUDILS=X,AUD/ILS
64,ARSMXN=X,ARS/MXN
65,AUDOMR=X,AUD/OMR
66,ARSVEF=X,ARS/VEF
67,AUDRUB=X,AUD/RUB
68,AUDLVL=X,AUD/LVL
69,AEDBHD=X,AED/BHD
70,EURJOD=X,EUR/JOD
71,ALLEUR=X,ALL/EUR
72,AUDBWP=X,AUD/BWP
73,AUDGHS=X,AUD/GHS
74,AUDCRC=X,AUD/CRC
75,ANGCHF=X,ANG/CHF
76,EUR-KZT.F,EUR-KZT.F
77,AUDIDR=X,AUD/IDR
78,AUDQAR=X,AUD/QAR
79,AFN=X,USD/AFN
80,EUR-PEN.F,EUR-PEN.F
81,AUDSYP=X,AUD/SYP
82,AEDCZK=X,AED/CZK
83,ARSPYG=X,ARS/PYG
84,AEDNOK=X,AED/NOK
85,AUDPLN=X,AUD/PLN
86,EUR-MUR.F,EUR-MUR.F
87,AUDINR=X,AUD/INR
88,AEDTND=X,AED/TND
89,AEDXDR=X,AED/XDR
90,AUDXCD=X,AUD/XCD
91,EUR-BWP.F,EUR-BWP.F
92,EUR-COP.F,EUR-COP.F
93,AUDTTD=X,AUD/TTD
94,AUDANG=X,AUD/ANG
95,AUDFJD=X,AUD/FJD
96,AEDPKR=X,AED/PKR
97,AUDEGP=X,AUD/EGP
98,ALLUSD=X,ALL/USD
99,AUDHKD=X,AUD/HKD
